,,TOTAL HOUSEHOLDS,,,,,,,,,TOTAL HOUSEHOLD POPULATION,,,,,,,,,TOTAL EMPLOYMENT (WAGE & SALARY),,,,,,,
1,Rogers Park," 24,313 "," 24,570 "," 24,843 "," 24,990 "," 25,091 "," 25,067 "," 24,987 "," 24,957 ",," 51,051 "," 51,901 "," 52,770 "," 53,457 "," 53,922 "," 54,148 "," 54,148 "," 54,148 ",," 9,550 "," 9,862 "," 10,054 "," 10,334 "," 10,500 "," 10,668 "," 10,674 "," 10,680 "
49,Roseland," 14,976 "," 15,763 "," 16,770 "," 17,886 "," 18,950 "," 19,841 "," 20,148 "," 20,177 ",," 41,939 "," 43,239 "," 44,720 "," 46,493 "," 48,519 "," 50,419 "," 51,074 "," 51,074 ",," 4,478 "," 4,621 "," 4,851 "," 5,193 "," 5,675 "," 6,263 "," 6,855 "," 6,968 "
46,South Chicago," 10,621 "," 11,003 "," 11,566 "," 12,220 "," 12,943 "," 13,700 "," 14,844 "," 15,651 ",," 29,419 "," 30,096 "," 31,013 "," 32,178 "," 33,667 "," 35,390 "," 38,027 "," 39,847 ",," 3,429 "," 3,525 "," 3,693 "," 3,949 "," 4,324 "," 4,808 "," 5,527 "," 6,414 "
51,South Deering," 5,344 "," 5,725 "," 6,142 "," 6,655 "," 7,309 "," 8,027 "," 8,855 "," 9,839 ",," 15,235 "," 15,976 "," 16,685 "," 17,601 "," 18,939 "," 20,546 "," 22,427 "," 24,656 ",," 7,458 "," 7,622 "," 7,876 "," 8,324 "," 8,898 "," 9,781 "," 11,081 "," 12,749 "
30,South Lawndale," 17,436 "," 17,910 "," 18,574 "," 19,340 "," 20,137 "," 20,562 "," 20,939 "," 21,197 ",," 65,992 "," 67,694 "," 69,812 "," 72,332 "," 74,947 "," 76,459 "," 77,714 "," 78,597 ",," 12,326 "," 13,138 "," 13,414 "," 13,845 "," 14,366 "," 14,906 "," 15,480 "," 16,197 "
43,South Shore," 23,701 "," 24,162 "," 24,765 "," 25,491 "," 26,255 "," 26,953 "," 27,176 "," 27,182 ",," 50,476 "," 51,204 "," 52,055 "," 53,164 "," 54,467 "," 55,792 "," 56,242 "," 56,242 ",," 4,686 "," 4,866 "," 5,006 "," 5,224 "," 5,547 "," 5,923 "," 6,186 "," 6,195 "
32,The Loop," 17,502 "," 24,921 "," 27,030 "," 26,724 "," 26,504 "," 26,277 "," 26,121 "," 26,105 ",," 29,529 "," 40,776 "," 43,764 "," 43,764 "," 43,764 "," 43,764 "," 43,764 "," 43,764 ",," 379,239 "," 388,713 "," 392,348 "," 393,656 "," 394,627 "," 395,714 "," 396,636 "," 397,585 "
3,Uptown," 29,743 "," 30,188 "," 30,736 "," 30,846 "," 31,025 "," 31,068 "," 30,921 "," 30,904 ",," 52,495 "," 53,437 "," 54,446 "," 54,966 "," 55,522 "," 55,942 "," 55,942 "," 55,942 ",," 15,797 "," 16,060 "," 16,273 "," 16,459 "," 16,673 "," 16,887 "," 16,908 "," 16,929 "
73,Washington Heights," 9,857 "," 10,410 "," 11,038 "," 11,691 "," 12,228 "," 12,382 "," 12,405 "," 12,431 ",," 26,887 "," 27,723 "," 28,515 "," 29,383 "," 30,282 "," 30,497 "," 30,497 "," 30,497 ",," 1,945 "," 2,029 "," 2,178 "," 2,416 "," 2,733 "," 2,978 "," 2,984 "," 2,990 "
40,Washington Park," 4,546 "," 4,785 "," 5,000 "," 5,272 "," 5,627 "," 6,146 "," 7,096 "," 7,769 ",," 12,033 "," 12,526 "," 12,938 "," 13,526 "," 14,313 "," 15,507 "," 17,560 "," 18,967 ",, 705 , 931 ," 1,153 "," 1,247 "," 1,384 "," 1,596 "," 1,991 "," 2,873 "
62,West Elsdon," 5,130 "," 5,371 "," 5,531 "," 5,695 "," 5,826 "," 5,876 "," 5,881 "," 5,878 ",," 18,309 "," 19,014 "," 19,464 "," 19,923 "," 20,299 "," 20,442 "," 20,442 "," 20,442 ",," 2,280 "," 2,338 "," 2,384 "," 2,447 "," 2,533 "," 2,559 "," 2,565 "," 2,571 "
